西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,水温,m_トリハロメタン生成能,n_トリハロメタン生成能,C_トリハロメタン生成能_最大値,トリハロメタン生成能_最大値,C_トリハロメタン生成能_日平均値_平均値,トリハロメタン生成能_日平均値_平均値,C_クロロホルム生成能_最大値,クロロホルム生成能_最大値,C_クロロホルム生成能_日平均値_平均値,クロロホルム生成能_日平均値_平均値,C_ブロモジクロロメタン生成能_最大値,ブロモジクロロメタン生成能_最大値,C_ブロモジクロロメタン生成能_日平均値_平均値,ブロモジクロロメタン生成能_日平均値_平均値,C_ジブロモクロロメタン生成能_最大値,ジブロモクロロメタン生成能_最大値,C_ジブロモクロロメタン生成能_日平均値_平均値,ジブロモクロロメタン生成能_日平均値_平均値,C_ブロモホルム生成能_最大値,ブロモホルム生成能_最大値,C_ブロモホルム生成能_日平均値_平均値,ブロモホルム生成能_日平均値_平均値
2009,0110030,01,002,02,99.9,999,12,#,0.054,#,0.034,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0110140,01,005,02,99.9,999,12,#,0.031,#,0.021,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0110160,01,006,02,99.9,999,12,#,0.097,#,0.052,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0110410,01,020,01,99.9,999,12,#,0.052,#,0.036,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0110420,01,021,01,99.9,999,12,#,0.064,#,0.04,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0110490,01,024,54,99.9,999,12,#,0.074,#,0.053,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0110550,01,029,01,99.9,999,12,#,0.068,#,0.036,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0110790,01,048,01,99.9,999,12,#,0.15,#,0.086,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0111740,01,120,01,99.9,999,4,#,0.044,#,0.029,#,0.021,#,0.013,#,0.011,#,0.007,#,0.016,#,0.007,#,0.004,#,0.003
2009,0111970,01,135,01,99.9,999,12,#,0.058,#,0.04,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0111980,01,135,51,99.9,999,4,#,0.061,#,0.04,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0112050,01,141,01,99.9,999,12,#,0.077,#,0.049,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0114220,01,141,53,99.9,999,4,#,0.042,#,0.037,#,0.032,#,0.03,#,0.01,#,0.006,#,0.002,#,0.001,<,0.001,<,0.001
2009,0113470,01,144,02,99.9,999,12,#,0.097,#,0.06,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0114320,01,144,53,99.9,999,4,#,0.07,#,0.054,#,0.056,#,0.04,#,0.012,#,0.01,#,0.007,#,0.003,<,0.001,<,0.001
2009,0112150,01,146,01,99.9,999,4,#,0.035,#,0.031,#,0.025,#,0.021,#,0.01,#,0.008,#,0.002,#,0.001,<,0.001,<,0.001
2009,0112590,01,178,02,99.9,999,12,#,0.042,#,0.022,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0114070,01,272,01,99.9,999,4,#,0.056,#,0.032,#,0.02,#,0.015,#,0.013,#,0.007,#,0.018,#,0.007,#,0.005,#,0.003
2009,0114300,01,290,01,99.9,999,4,#,0.092,#,0.07,#,0.076,#,0.056,#,0.014,#,0.012,#,0.002,#,0.001,<,0.001,<,0.001
2009,0114470,01,297,01,99.9,999,4,#,0.087,#,0.067,#,0.084,#,0.064,#,0.003,#,0.002,<,0.001,<,0.001,<,0.001,<,0.001
2009,0210070,02,003,01,19.8,999,4,#,0.047,#,0.041,#,0.032,#,0.027,#,0.012,#,0.011,#,0.002,#,0.002,<,0.001,<,0.001
2009,0210090,02,003,51,22.4,999,4,#,0.044,#,0.039,#,0.03,#,0.027,#,0.011,#,0.0095,#,0.002,#,0.0018,<,0.001,<,0.001
2009,0210190,02,008,02,17.6,999,4,#,0.049,#,0.041,#,0.033,#,0.02,#,0.015,#,0.013,#,0.01,#,0.0068,<,0.001,<,0.001
2009,0210240,02,010,03,19.4,999,4,#,0.061,#,0.049,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0210330,02,010,59,17.5,999,4,#,0.045,#,0.038,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0210620,02,015,01,25.8,999,4,#,0.097,#,0.075,#,0.04,#,0.033,#,0.034,#,0.026,#,0.022,#,0.016,#,0.0019,#,0.0013
2009,0211040,02,033,01,20.6,999,4,#,0.022,#,0.014,#,0.01,#,0.005,#,0.0077,#,0.0053,#,0.0057,#,0.004,#,0.0009,#,0.0005
2009,0211130,02,035,01,13.1,999,4,#,0.034,#,0.025,#,0.022,#,0.014,#,0.0092,#,0.008,#,0.0039,#,0.0036,#,0.0004,#,0.0003
2009,0214480,02,297,01,18,999,4,#,0.082,#,0.071,#,0.072,#,0.06,#,0.012,#,0.01,#,0.0018,#,0.0013,<,0.0002,<,0.0002
2009,0221100,02,503,01,22,999,4,#,0.17,#,0.086,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0310060,03,002,54,20.2,999,4,#,0.074,#,0.05,#,0.023,#,0.014,#,0.013,#,0.007,#,0.013,#,0.008,#,0.039,#,0.022
2009,0310420,03,018,52,19.8,999,4,#,0.034,#,0.026,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0310450,03,019,51,19,999,4,#,0.037,#,0.028,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0312540,03,033,51,18.5,999,4,#,0.14,#,0.1,#,0.061,#,0.046,#,0.024,#,0.015,#,0.023,#,0.015,#,0.05,#,0.028
2009,0312820,03,245,02,21.9,999,1,#,0.049,#,0.049,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0410230,04,009,01,23,999,4,#,0.049,#,0.042,#,0.032,#,0.032,#,0.013,#,0.013,#,0.003,#,0.003,<,0.001,<,0.001
2009,0411760,04,010,51,24,999,4,#,0.048,#,0.04,#,0.032,#,0.032,#,0.012,#,0.012,#,0.003,#,0.003,<,0.001,<,0.001
2009,0410270,04,010,52,23.5,999,4,#,0.046,#,0.041,#,0.031,#,0.031,#,0.012,#,0.012,#,0.002,#,0.002,<,0.001,<,0.001
2009,0410290,04,012,01,21.5,999,4,#,0.044,#,0.032,#,0.035,#,0.035,#,0.007,#,0.007,#,0.001,#,0.001,<,0.001,<,0.001
2009,0410300,04,012,51,22.5,999,4,#,0.061,#,0.05,#,0.047,#,0.036,#,0.012,#,0.011,#,0.003,#,0.002,<,0.001,<,0.001
2009,0410360,04,013,01,20,999,4,#,0.047,#,0.037,#,0.031,#,0.023,#,0.013,#,0.0095,#,0.004,#,0.003,<,0.001,<,0.001
2009,0410500,04,016,01,22.5,999,4,#,0.075,#,0.066,#,0.06,#,0.046,#,0.018,#,0.016,#,0.005,#,0.003,<,0.001,<,0.001
2009,0410530,04,017,01,25,999,4,#,0.11,#,0.089,#,0.096,#,0.067,#,0.02,#,0.019,#,0.007,#,0.004,<,0.001,<,0.001
2009,0410580,04,019,01,23.4,999,4,#,0.067,#,0.053,#,0.055,#,0.041,#,0.011,#,0.01,#,0.002,#,0.002,<,0.001,<,0.001
2009,0410620,04,021,01,24,999,4,#,0.11,#,0.064,#,0.091,#,0.052,#,0.017,#,0.0098,#,0.001,#,0.001,<,0.001,<,0.001
2009,0410740,04,025,53,21.5,999,4,#,0.05,#,0.032,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0411860,04,027,61,18,999,4,#,0.055,#,0.042,#,0.037,#,0.029,#,0.014,#,0.01,#,0.003,#,0.002,<,0.001,<,0.001
2009,0410970,04,031,01,22.3,999,4,#,0.065,#,0.048,#,0.052,#,0.037,#,0.01,#,0.0078,<,0.001,<,0.001,<,0.001,<,0.001
2009,0411130,04,038,01,22.8,999,4,#,0.045,#,0.035,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0411170,04,039,01,24,999,4,#,0.047,#,0.035,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0411370,04,053,01,18,999,4,#,0.04,#,0.03,#,0.021,#,0.014,#,0.012,#,0.0095,#,0.006,#,0.006,<,0.001,<,0.001
2009,0411500,04,057,01,18.1,999,4,#,0.061,#,0.043,#,0.056,#,0.038,#,0.003,#,0.0028,<,0.001,<,0.001,<,0.001,<,0.001
2009,0420290,04,410,01,21.6,999,4,#,0.14,#,0.097,#,0.14,#,0.093,#,0.007,#,0.0048,<,0.001,<,0.001,<,0.001,<,0.001
2009,0420120,04,504,01,23,999,3,#,0.12,#,0.076,#,0.11,#,0.068,#,0.01,#,0.0063,<,0.001,<,0.001,<,0.001,<,0.001
2009,0420140,04,505,01,23.2,999,4,#,0.031,#,0.022,#,0.027,#,0.016,#,0.008,#,0.0048,<,0.001,<,0.001,<,0.001,<,0.001
2009,0420180,04,506,01,24,999,4,#,0.12,#,0.084,#,0.11,#,0.073,#,0.012,#,0.011,#,0.001,#,0.001,<,0.001,<,0.001
2009,0420400,04,512,01,24,999,4,#,0.043,#,0.029,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2009,0510040,05,003,01,17.6,999,4,#,0.1,#,0.085,#,0.015,#,0.0094,#,0.027,#,0.022,#,0.048,#,0.038,#,0.033,#,0.018
2009,0510070,05,003,06,20,999,4,#,0.082,#,0.073,#,0.034,#,0.022,#,0.031,#,0.026,#,0.028,#,0.022,#,0.008,#,0.0037
2009,0510470,05,053,03,21.4,999,2,#,0.055,#,0.046,#,0.031,#,0.026,#,0.017,#,0.014,#,0.006,#,0.005,#,0.0004,#,0.0003
2009,0510520,05,053,08,23.4,999,4,#,0.057,#,0.046,#,0.034,#,0.027,#,0.017,#,0.013,#,0.006,#,0.005,#,0.0004,#,0.0004
