西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,採取位置,C_全窒素_最小値,全窒素_最小値,C_全窒素_最大値,全窒素_最大値,m_全窒素,n_全窒素,C_全窒素_日間平均値_平均値,全窒素_日間平均値_平均値,C_全燐_最小値,全燐_最小値,C_全燐_最大値,全燐_最大値,m_全燐,n_全燐,C_全燐_日間平均値_平均値,全燐_日間平均値_平均値
1992,0120010,01,501,01,0,11,#,1.1,#,3.2,8,8,#,2.1,#,0.006,#,0.11,4,8,#,0.054
1992,0120020,01,501,02,0,11,#,1,#,3.1,8,8,#,2.1,#,0.029,#,0.14,7,8,#,0.079
1992,0120030,01,501,51,0,11,#,1.2,#,3.3,8,8,#,2.2,#,0.004,#,0.2,7,8,#,0.11
1992,0120040,01,501,52,0,11,#,1.1,#,3.4,8,8,#,2.3,#,0.034,#,0.15,5,8,#,0.074
1992,0120050,01,502,01,0,11,<,0.05,#,0.11,999,6,#,0.07,<,0.003,<,0.003,0,6,<,0.003
1992,0120060,01,502,02,0,11,<,0.05,#,0.09,999,6,#,0.06,<,0.003,<,0.003,0,6,<,0.003
1992,0120110,01,503,01,0,11,#,0.17,#,0.25,999,6,#,0.22,<,0.003,<,0.003,0,6,<,0.003
1992,0120120,01,503,02,0,11,#,0.16,#,0.25,999,6,#,0.22,<,0.003,<,0.003,0,6,<,0.003
1992,0120130,01,503,03,0,11,#,0.17,#,0.25,999,6,#,0.22,<,0.003,<,0.003,0,6,<,0.003
1992,0120140,01,503,51,0,11,#,0.16,#,0.28,999,6,#,0.23,<,0.003,<,0.003,0,6,<,0.003
1992,0120150,01,503,52,0,11,#,0.2,#,0.26,999,6,#,0.23,<,0.003,<,0.003,0,6,<,0.003
1992,0120160,01,503,53,0,11,#,0.18,#,0.28,999,6,#,0.23,<,0.003,<,0.003,0,6,<,0.003
1992,0120170,01,503,54,0,11,#,0.18,#,0.28,999,6,#,0.23,<,0.003,<,0.003,0,6,<,0.003
1992,0120190,01,504,02,0,11,#,0.26,#,0.57,999,6,#,0.39,#,0.018,#,0.036,2,6,#,0.027
1992,0120240,01,505,01,0,11,#,0.14,#,0.3,0,6,#,0.22,#,0.012,#,0.05,1,6,#,0.021
