西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,m_ダイオキシン（水質）,n_ダイオキシン（水質）,C_ダイオキシン（水質）_最大値,ダイオキシン（水質）_最大値,C_ダイオキシン（水質）_平均値,ダイオキシン（水質）_平均値,m_ダイオキシン（底質）,n_ダイオキシン（底質）,C_ダイオキシン（底質）_最大値,ダイオキシン（底質）_最大値,C_ダイオキシン（底質）_平均値,ダイオキシン（底質）_平均値
2008,0110030,01,002,02,0,1,#,0.068,#,0.068,0,1,#,0.22,#,0.22
2008,0110060,01,004,01,0,4,#,0.22,#,0.15,0,1,#,0.34,#,0.34
2008,0113460,01,004,02,0,4,#,0.15,#,0.11,0,1,#,1.3,#,1.3
2008,0110070,01,004,51,0,0,#,0,#,0,0,1,#,1.6,#,1.6
2008,0110170,01,007,01,0,1,#,0.094,#,0.094,0,1,#,1.5,#,1.5
2008,0110250,01,010,01,0,1,#,0.071,#,0.071,0,1,#,0.31,#,0.31
2008,0118860,01,010,52,0,0,#,0,#,0,0,1,#,2,#,2
2008,0110320,01,012,01,0,1,#,0.068,#,0.068,0,1,#,0.65,#,0.65
2008,0110370,01,017,01,0,1,#,0.073,#,0.073,0,1,#,0.29,#,0.29
2008,0110450,01,024,01,0,1,#,0.1,#,0.1,0,1,#,2.4,#,2.4
2008,0113990,01,024,55,0,1,#,0.085,#,0.085,0,1,#,1.6,#,1.6
2008,0110600,01,033,01,0,1,#,0.069,#,0.069,0,1,#,0.29,#,0.29
2008,0110630,01,035,01,0,1,#,0.066,#,0.066,0,1,#,0.49,#,0.49
2008,0110790,01,048,01,0,1,#,0.067,#,0.067,0,1,#,0.21,#,0.21
2008,0110940,01,059,01,0,1,#,0.067,#,0.067,0,1,#,0.22,#,0.22
2008,0110980,01,062,01,0,1,#,0.067,#,0.067,0,1,#,0.27,#,0.27
2008,0111170,01,075,01,0,1,#,0.063,#,0.063,0,1,#,0.24,#,0.24
2008,0111260,01,077,01,0,1,#,0.067,#,0.067,0,1,#,0.23,#,0.23
2008,0111280,01,079,01,0,0,#,0,#,0,0,1,#,0.32,#,0.32
2008,0111320,01,083,01,0,1,#,0.07,#,0.07,0,1,#,0.55,#,0.55
2008,0111750,01,121,01,0,1,#,0.017,#,0.017,0,1,#,1.4,#,1.4
2008,0111810,01,122,55,0,2,#,0.24,#,0.17,0,1,#,0.25,#,0.25
2008,0112180,01,148,01,0,2,#,0.069,#,0.044,0,2,#,0.66,#,0.42
2008,0112330,01,159,53,0,1,#,0.021,#,0.021,0,1,#,5,#,5
2008,0112690,01,187,01,0,1,#,0.063,#,0.063,0,1,#,0.19,#,0.19
2008,0118870,01,216,03,0,2,#,0.25,#,0.17,0,0,#,0,#,0
2008,0114190,01,281,01,0,1,#,0.065,#,0.065,0,1,#,1.3,#,1.3
2008,0114660,01,301,01,0,1,#,0.067,#,0.067,0,1,#,0.21,#,0.21
2008,0120670,01,401,01,0,1,#,0.067,#,0.067,0,1,#,0.8,#,0.8
2008,0120680,01,402,01,0,1,#,0.067,#,0.067,0,1,#,1.5,#,1.5
2008,0120690,01,403,01,0,1,#,0.067,#,0.067,0,1,#,0.5,#,0.5
2008,0120010,01,501,01,0,1,#,0.069,#,0.069,0,1,#,5.6,#,5.6
2008,0130790,01,630,02,0,1,#,0.063,#,0.063,0,1,#,0.14,#,0.14
2008,0130880,01,633,02,0,2,#,0.047,#,0.046,0,1,#,6.2,#,6.2
2008,0210020,02,001,51,0,1,#,0.046,#,0.046,0,1,#,2,#,2
2008,0210040,02,002,01,0,1,#,0.042,#,0.042,0,1,#,0.21,#,0.21
2008,0210090,02,003,51,0,1,#,0.086,#,0.086,0,1,#,0.42,#,0.42
2008,0210110,02,004,01,0,1,#,0.12,#,0.12,0,1,#,1.1,#,1.1
2008,0214660,02,004,52,0,1,#,0.14,#,0.14,0,1,#,0.76,#,0.76
2008,0210140,02,005,01,0,1,#,0.085,#,0.085,0,1,#,0.27,#,0.27
2008,0210150,02,006,01,0,1,#,0.41,#,0.41,0,1,#,0.4,#,0.4
2008,0210170,02,007,01,0,1,#,0.031,#,0.031,0,1,#,0.086,#,0.086
2008,0210190,02,008,02,0,1,#,0.12,#,0.12,0,1,#,0.28,#,0.28
2008,0210220,02,010,01,0,1,#,0.037,#,0.037,0,1,#,0.14,#,0.14
2008,0210240,02,010,03,0,1,#,0.13,#,0.13,0,1,#,0.84,#,0.84
2008,0210440,02,011,51,0,1,#,0.18,#,0.18,0,1,#,0.53,#,0.53
2008,0210620,02,015,01,0,1,#,0.044,#,0.044,0,1,#,0.23,#,0.23
2008,0210630,02,015,02,0,1,#,0.47,#,0.47,0,1,#,0.43,#,0.43
2008,0214610,02,021,02,0,1,#,0.063,#,0.063,0,1,#,0.21,#,0.21
