西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,採取位置,C_全窒素_最小値,全窒素_最小値,C_全窒素_最大値,全窒素_最大値,m_全窒素,n_全窒素,C_全窒素_日間平均値_平均値,全窒素_日間平均値_平均値,C_全燐_最小値,全燐_最小値,C_全燐_最大値,全燐_最大値,m_全燐,n_全燐,C_全燐_日間平均値_平均値,全燐_日間平均値_平均値
1995,0120010,01,501,01,0,11,#,0.31,#,1.2,3,8,#,0.65,#,0.018,#,0.054,2,8,#,0.034
1995,0120020,01,501,02,0,11,#,0.29,#,1.6,3,8,#,0.67,#,0.018,#,0.064,2,8,#,0.032
1995,0120030,01,501,51,0,11,#,0.44,#,1.2,4,8,#,0.78,#,0.031,#,0.075,4,8,#,0.052
1995,0120040,01,501,52,0,11,#,0.32,#,1.8,3,8,#,0.71,#,0.023,#,0.064,1,8,#,0.035
1995,0120050,01,502,01,0,11,<,0.05,#,0.21,999,6,#,0.11,<,0.003,<,0.003,0,6,<,0.003
1995,0120060,01,502,02,0,11,<,0.05,#,0.2,999,6,#,0.09,<,0.003,<,0.003,0,6,<,0.003
1995,0120110,01,503,01,0,11,#,0.16,#,0.63,999,6,#,0.27,<,0.003,<,0.003,0,6,<,0.003
1995,0120120,01,503,02,0,11,#,0.14,#,0.29,999,6,#,0.2,<,0.003,<,0.003,0,6,<,0.003
1995,0120130,01,503,03,0,11,#,0.12,#,0.27,999,6,#,0.19,<,0.003,<,0.003,0,6,<,0.003
1995,0120140,01,503,51,0,11,#,0.14,#,0.31,999,6,#,0.21,<,0.003,<,0.003,0,6,<,0.003
1995,0120150,01,503,52,0,11,#,0.14,#,0.23,999,6,#,0.18,<,0.003,<,0.003,0,6,<,0.003
1995,0120160,01,503,53,0,11,#,0.15,#,0.37,999,6,#,0.21,<,0.003,<,0.003,0,6,<,0.003
1995,0120170,01,503,54,0,11,#,0.1,#,0.24,999,6,#,0.19,<,0.003,<,0.003,0,6,<,0.003
1995,0120180,01,504,01,0,11,#,0.26,#,0.51,999,6,#,0.38,#,0.005,#,0.02,0,6,#,0.012
1995,0120190,01,504,02,0,11,#,0.22,#,0.48,999,6,#,0.36,#,0.004,#,0.03,0,6,#,0.015
1995,0120200,01,504,51,0,11,#,0.24,#,0.48,999,6,#,0.38,#,0.005,#,0.022,0,6,#,0.013
1995,0120210,01,504,52,0,11,#,0.22,#,0.49,999,6,#,0.41,#,0.003,#,0.023,0,6,#,0.012
1995,0120220,01,504,53,0,11,#,0.34,#,0.53,999,6,#,0.44,#,0.003,#,0.025,0,6,#,0.013
1995,0120230,01,504,54,0,11,#,0.27,#,0.66,999,6,#,0.45,#,0.006,#,0.08,1,6,#,0.025
1995,0120240,01,505,01,0,11,<,0.05,#,0.28,0,6,#,0.21,#,0.014,#,0.054,4,6,#,0.032
1995,0120240,01,505,01,0,12,#,0.07,#,0.24,0,6,#,0.18,#,0.014,#,0.058,4,6,#,0.034
1995,0120250,01,505,02,0,11,#,0.05,#,0.22,0,6,#,0.15,#,0.011,#,0.05,2,6,#,0.028
1995,0120250,01,505,02,0,12,#,0.07,#,0.22,0,6,#,0.15,#,0.014,#,0.057,2,6,#,0.029
1995,0120260,01,505,03,0,11,#,0.08,#,0.22,0,6,#,0.18,#,0.014,#,0.058,2,6,#,0.03
1995,0120260,01,505,03,0,12,#,0.08,#,0.28,0,5,#,0.21,#,0.019,#,0.058,2,5,#,0.034
1995,0120270,01,505,51,0,11,#,0.1,#,0.26,0,6,#,0.19,#,0.014,#,0.051,1,6,#,0.025
1995,0120280,01,505,52,0,11,#,0.07,#,0.26,0,5,#,0.18,#,0.015,#,0.07,2,6,#,0.031
1995,0120290,01,505,53,0,11,#,0.06,#,0.24,0,5,#,0.18,#,0.014,#,0.06,4,6,#,0.032
1995,0120300,01,505,54,0,11,#,0.05,#,0.23,0,5,#,0.17,#,0.014,#,0.034,3,5,#,0.026
1995,0120310,01,506,01,0,11,<,0.05,#,0.24,999,6,#,0.11,<,0.003,#,0.017,2,6,#,0.007
1995,0120320,01,506,02,0,11,<,0.05,#,0.14,999,6,#,0.1,<,0.003,#,0.013,3,6,#,0.007
1995,0120360,01,507,01,0,11,<,0.05,#,0.12,999,4,#,0.09,<,0.003,#,0.003,0,4,#,0.003
