西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,水温,m_トリハロメタン生成能,n_トリハロメタン生成能,C_トリハロメタン生成能_最大値,トリハロメタン生成能_最大値,C_トリハロメタン生成能_日平均値_平均値,トリハロメタン生成能_日平均値_平均値,C_クロロホルム生成能_最大値,クロロホルム生成能_最大値,C_クロロホルム生成能_日平均値_平均値,クロロホルム生成能_日平均値_平均値,C_ブロモジクロロメタン生成能_最大値,ブロモジクロロメタン生成能_最大値,C_ブロモジクロロメタン生成能_日平均値_平均値,ブロモジクロロメタン生成能_日平均値_平均値,C_ジブロモクロロメタン生成能_最大値,ジブロモクロロメタン生成能_最大値,C_ジブロモクロロメタン生成能_日平均値_平均値,ジブロモクロロメタン生成能_日平均値_平均値,C_ブロモホルム生成能_最大値,ブロモホルム生成能_最大値,C_ブロモホルム生成能_日平均値_平均値,ブロモホルム生成能_日平均値_平均値
2006,0110030,01,002,02,99.9,999,12,#,0.052,#,0.033,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0110140,01,005,02,99.9,999,12,#,0.038,#,0.024,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0110160,01,006,02,99.9,999,12,#,0.065,#,0.048,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0110410,01,020,01,99.9,999,12,#,0.052,#,0.039,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0110420,01,021,01,99.9,999,12,#,0.053,#,0.042,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0110490,01,024,54,99.9,999,12,#,0.077,#,0.059,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0110550,01,029,01,99.9,999,12,#,0.19,#,0.047,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0110790,01,048,01,99.9,999,12,#,0.15,#,0.087,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0110950,01,060,01,99.9,999,12,#,0.06,#,0.039,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0111740,01,120,01,99.9,999,4,#,0.066,#,0.037,#,0.039,#,0.021,#,0.019,#,0.011,#,0.007,#,0.004,<,0.001,<,0.001
2006,0111970,01,135,01,99.9,999,12,#,0.065,#,0.045,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0111980,01,135,51,99.9,999,4,#,0.064,#,0.043,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0112050,01,141,01,99.9,999,12,#,0.088,#,0.054,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0114220,01,141,53,99.9,999,4,#,0.073,#,0.059,#,0.066,#,0.046,#,0.014,#,0.01,#,0.005,#,0.003,<,0.001,<,0.001
2006,0113470,01,144,02,99.9,999,12,#,0.086,#,0.058,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0114320,01,144,53,99.9,999,4,#,0.1,#,0.063,#,0.073,#,0.045,#,0.023,#,0.014,#,0.005,#,0.004,<,0.001,<,0.001
2006,0112150,01,146,01,99.9,999,4,#,0.041,#,0.037,#,0.028,#,0.024,#,0.012,#,0.01,#,0.006,#,0.003,<,0.001,<,0.001
2006,0112590,01,178,02,99.9,999,12,#,0.028,#,0.018,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0114070,01,272,01,99.9,999,4,#,0.072,#,0.039,#,0.044,#,0.024,#,0.022,#,0.011,#,0.005,#,0.003,<,0.001,<,0.001
2006,0114300,01,290,01,99.9,999,4,#,0.13,#,0.092,#,0.11,#,0.077,#,0.019,#,0.013,#,0.002,#,0.001,<,0.001,<,0.001
2006,0114470,01,297,01,99.9,999,4,#,0.092,#,0.072,#,0.087,#,0.069,#,0.004,#,0.003,<,0.001,<,0.001,<,0.001,<,0.001
2006,0210070,02,003,01,23.1,999,4,#,0.096,#,0.058,#,0.066,#,0.039,#,0.023,#,0.014,#,0.006,#,0.004,#,0.002,#,0.0013
2006,0210090,02,003,51,22.3,999,4,#,0.094,#,0.052,#,0.067,#,0.035,#,0.021,#,0.012,#,0.005,#,0.0033,#,0.003,#,0.0015
2006,0210190,02,008,02,20.8,999,4,#,0.094,#,0.06,#,0.043,#,0.028,#,0.031,#,0.018,#,0.019,#,0.012,#,0.005,#,0.002
2006,0210240,02,010,03,22.1,999,3,#,0.097,#,0.076,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0210330,02,010,59,19.7,999,4,#,0.05,#,0.042,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0210620,02,015,01,27.5,999,4,#,0.1,#,0.066,#,0.043,#,0.04,#,0.047,#,0.029,#,0.019,#,0.01,#,0.0009,#,0.0004
2006,0211040,02,033,01,22,999,4,#,0.053,#,0.031,#,0.048,#,0.02,#,0.012,#,0.0076,#,0.0054,#,0.0031,#,0.0005,#,0.0003
2006,0211130,02,035,01,15,999,4,#,0.042,#,0.025,#,0.028,#,0.018,#,0.012,#,0.0081,#,0.003,#,0.0018,<,0.0002,<,0.0001
2006,0214480,02,297,01,22.5,999,4,#,0.079,#,0.062,#,0.071,#,0.051,#,0.014,#,0.0097,#,0.0015,#,0.001,#,0.0035,#,0.001
2006,0221100,02,503,01,26,999,4,#,0.14,#,0.088,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0310060,03,002,54,17.2,999,4,#,0.045,#,0.028,#,0.036,#,0.02,#,0.008,#,0.0068,#,0.002,#,0.001,<,0.001,<,0.001
2006,0310420,03,018,52,21.5,999,4,#,0.035,#,0.032,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0310450,03,019,51,21.5,999,4,#,0.038,#,0.035,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0312540,03,033,51,20.7,999,4,#,0.058,#,0.054,#,0.043,#,0.038,#,0.016,#,0.013,#,0.004,#,0.003,<,0.001,<,0.001
2006,0312980,03,221,03,17,999,1,#,0.033,#,0.033,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0410230,04,009,01,20.7,999,4,#,0.065,#,0.046,#,0.031,#,0.031,#,0.009,#,0.009,#,0.002,#,0.002,<,0.001,<,0.001
2006,0411760,04,010,51,20.8,999,4,#,0.061,#,0.044,#,0.028,#,0.028,#,0.007,#,0.007,#,0.002,#,0.002,<,0.001,<,0.001
2006,0410270,04,010,52,20.4,999,4,#,0.065,#,0.043,#,0.029,#,0.029,#,0.008,#,0.008,#,0.002,#,0.002,<,0.001,<,0.001
2006,0410290,04,012,01,17.8,999,4,#,0.035,#,0.03,#,0.023,#,0.023,#,0.004,#,0.004,#,0.001,#,0.001,<,0.001,<,0.001
2006,0410300,04,012,51,26.8,999,4,#,0.033,#,0.024,#,0.022,#,0.017,#,0.008,#,0.005,#,0.002,#,0.001,<,0.001,<,0.001
2006,0410360,04,013,01,20.6,999,4,#,0.048,#,0.032,#,0.032,#,0.021,#,0.011,#,0.008,#,0.004,#,0.003,<,0.001,<,0.001
2006,0410500,04,016,01,21,999,4,#,0.084,#,0.064,#,0.072,#,0.052,#,0.011,#,0.009,#,0.002,#,0.002,<,0.001,<,0.001
2006,0410530,04,017,01,26.8,999,4,#,0.08,#,0.049,#,0.065,#,0.038,#,0.012,#,0.009,#,0.004,#,0.002,<,0.001,<,0.001
2006,0410580,04,019,01,24.5,999,4,#,0.052,#,0.031,#,0.04,#,0.022,#,0.009,#,0.006,#,0.002,#,0.002,<,0.001,<,0.001
2006,0410620,04,021,01,25,999,4,#,0.088,#,0.047,#,0.068,#,0.037,#,0.016,#,0.008,#,0.003,#,0.002,<,0.001,<,0.001
2006,0410740,04,025,53,24,999,4,#,0.06,#,0.041,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0410750,04,026,01,12,999,1,#,0.025,#,0.025,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0411860,04,027,61,20.8,999,4,#,0.062,#,0.032,#,0.048,#,0.023,#,0.011,#,0.005,#,0.008,#,0.003,<,0.001,<,0.001
2006,0410970,04,031,01,23.8,999,4,#,0.086,#,0.059,#,0.068,#,0.046,#,0.015,#,0.01,#,0.002,#,0.002,<,0.001,<,0.001
2006,0411130,04,038,01,25.7,999,5,#,0.041,#,0.034,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0411170,04,039,01,26,999,5,#,0.043,#,0.035,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2006,0411370,04,053,01,18.3,999,4,#,0.019,#,0.013,#,0.008,#,0.005,#,0.006,#,0.004,#,0.004,#,0.003,<,0.001,<,0.001
2006,0411500,04,057,01,17.8,999,4,#,0.053,#,0.043,#,0.047,#,0.037,#,0.004,#,0.004,<,0.001,<,0.001,<,0.001,<,0.001
2006,0420290,04,410,01,24.6,999,4,#,0.12,#,0.091,#,0.12,#,0.086,#,0.007,#,0.006,<,0.001,<,0.001,<,0.001,<,0.001
2006,0420120,04,504,01,27,999,4,#,0.059,#,0.03,#,0.052,#,0.024,#,0.005,#,0.004,<,0.001,<,0.001,<,0.001,<,0.001
2006,0420140,04,505,01,23.6,999,4,#,0.028,#,0.021,#,0.095,#,0.038,#,0.007,#,0.005,#,0.001,#,0.001,<,0.001,<,0.001
2006,0420180,04,506,01,29,999,4,#,0.052,#,0.028,#,0.043,#,0.022,#,0.007,#,0.004,#,0.001,#,0.001,<,0.001,<,0.001
2006,0420400,04,512,01,20.9,999,4,#,0.042,#,0.035,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
