西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,m_ダイオキシン（水質）,n_ダイオキシン（水質）,C_ダイオキシン（水質）_最大値,ダイオキシン（水質）_最大値,C_ダイオキシン（水質）_平均値,ダイオキシン（水質）_平均値,m_ダイオキシン（底質）,n_ダイオキシン（底質）,C_ダイオキシン（底質）_最大値,ダイオキシン（底質）_最大値,C_ダイオキシン（底質）_平均値,ダイオキシン（底質）_平均値
2009,0110060,01,004,01,0,1,#,0.16,#,0.16,0,1,#,0.32,#,0.32
2009,0110170,01,007,01,0,1,#,0.07,#,0.07,0,1,#,1.3,#,1.3
2009,0110180,01,007,51,0,0,#,0,#,0,0,1,#,1.1,#,1.1
2009,0110250,01,010,01,0,1,#,0.1,#,0.1,0,1,#,0.22,#,0.22
2009,0110320,01,012,01,0,1,#,0.07,#,0.07,0,1,#,1.1,#,1.1
2009,0110370,01,017,01,0,1,#,0.07,#,0.07,0,1,#,0.34,#,0.34
2009,0113990,01,024,55,0,1,#,0.07,#,0.07,0,1,#,2,#,2
2009,0110600,01,033,01,0,1,#,0.07,#,0.07,0,1,#,0.28,#,0.28
2009,0110630,01,035,01,0,1,#,0.051,#,0.051,0,1,#,0.48,#,0.48
2009,0110790,01,048,01,0,1,#,0.07,#,0.07,0,1,#,0.21,#,0.21
2009,0110940,01,059,01,0,1,#,0.07,#,0.07,0,1,#,0.21,#,0.21
2009,0110950,01,060,01,0,0,#,0,#,0,0,1,#,0.21,#,0.21
2009,0110980,01,062,01,0,1,#,0.07,#,0.07,0,1,#,0.26,#,0.26
2009,0118770,01,062,52,0,0,#,0,#,0,0,1,#,0.21,#,0.21
2009,0111170,01,075,01,0,1,#,0.02,#,0.02,0,1,#,0.69,#,0.69
2009,0111260,01,077,01,0,1,#,0.07,#,0.07,0,1,#,0.24,#,0.24
2009,0111320,01,083,01,0,1,#,0.07,#,0.07,0,1,#,2,#,2
2009,0111750,01,121,01,0,1,#,0.015,#,0.015,0,1,#,1.1,#,1.1
2009,0111790,01,122,01,0,1,#,0.076,#,0.076,0,1,#,0.34,#,0.34
2009,0111830,01,122,54,0,2,#,0.3,#,0.19,0,0,#,0,#,0
2009,0111810,01,122,55,0,2,#,0.24,#,0.16,0,1,#,0.37,#,0.37
2009,0112180,01,148,01,0,2,#,0.068,#,0.042,0,2,#,0.38,#,0.24
2009,0112330,01,159,53,0,1,#,0.018,#,0.018,0,1,#,4.6,#,4.6
2009,0112690,01,187,01,0,1,#,0.057,#,0.057,0,1,#,0.15,#,0.15
2009,0114660,01,301,01,0,1,#,0.07,#,0.07,0,1,#,0.21,#,0.21
2009,0114800,01,319,01,0,1,#,0.017,#,0.017,0,1,#,0.42,#,0.42
2009,0120700,01,404,01,0,1,#,0.078,#,0.078,0,1,#,5.1,#,5.1
2009,0120710,01,405,01,0,1,#,0.07,#,0.07,0,1,#,0.21,#,0.21
2009,0120730,01,407,01,0,1,#,0.07,#,0.07,0,1,#,1.7,#,1.7
2009,0120010,01,501,01,0,1,#,0.07,#,0.07,0,1,#,3.8,#,3.8
2009,0130880,01,633,02,0,2,#,0.054,#,0.052,0,1,#,5.1,#,5.1
2009,0210050,02,002,02,0,1,#,0.044,#,0.044,0,0,#,0,#,0
2009,0210110,02,004,01,0,1,#,0.23,#,0.23,0,1,#,0.3,#,0.3
2009,0210150,02,006,01,0,1,#,0.16,#,0.16,0,1,#,0.98,#,0.98
2009,0214680,02,008,52,0,1,#,0.046,#,0.046,0,0,#,0,#,0
2009,0210240,02,010,03,0,1,#,0.14,#,0.14,0,1,#,3.3,#,3.3
2009,0210570,02,014,02,0,1,#,0.045,#,0.045,0,0,#,0,#,0
2009,0210630,02,015,02,0,1,#,0.29,#,0.29,0,0,#,0,#,0
2009,0210660,02,017,01,0,1,#,0.043,#,0.043,0,0,#,0,#,0
2009,0210770,02,022,01,0,1,#,0.053,#,0.053,0,0,#,0,#,0
2009,0210840,02,025,01,0,1,#,0.05,#,0.05,0,1,#,0.086,#,0.086
2009,0210980,02,030,01,0,1,#,0.093,#,0.093,0,0,#,0,#,0
2009,0211010,02,032,01,0,1,#,0.14,#,0.14,0,1,#,9.9,#,9.9
2009,0211020,02,032,51,0,1,#,0.091,#,0.091,0,1,#,1.2,#,1.2
2009,0211110,02,034,02,0,1,#,0.044,#,0.044,0,1,#,16,#,16
2009,0211180,02,038,01,0,1,#,0.046,#,0.046,0,1,#,7.5,#,7.5
2009,0211260,02,042,01,0,1,#,0.044,#,0.044,0,0,#,0,#,0
2009,0211290,02,044,01,0,1,#,0.044,#,0.044,0,1,#,2.6,#,2.6
2009,0213020,02,054,01,0,1,#,0.071,#,0.071,0,1,#,1.2,#,1.2
2009,0213220,02,056,01,0,1,#,0.06,#,0.06,0,0,#,0,#,0
2009,0213230,02,057,01,0,1,#,0.042,#,0.042,0,0,#,0,#,0
2009,0211760,02,219,03,0,2,#,0.2,#,0.17,0,1,#,0.4,#,0.4
2009,0211800,02,221,03,0,2,#,0.37,#,0.33,0,1,#,1.1,#,1.1
2009,0212900,02,287,03,0,1,#,0.047,#,0.047,0,1,#,0.13,#,0.13
2009,0212960,02,292,02,0,1,#,0.18,#,0.18,0,0,#,0,#,0
2009,0214650,02,300,01,0,1,#,0.082,#,0.082,0,1,#,0.39,#,0.39
