西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,採取位置,C_全窒素_最小値,全窒素_最小値,C_全窒素_最大値,全窒素_最大値,m_全窒素,n_全窒素,C_全窒素_日間平均値_平均値,全窒素_日間平均値_平均値,C_全燐_最小値,全燐_最小値,C_全燐_最大値,全燐_最大値,m_全燐,n_全燐,C_全燐_日間平均値_平均値,全燐_日間平均値_平均値
1993,0120010,01,501,01,0,11,#,0.32,#,3.1,3,8,#,0.93,#,0.036,#,0.073,1,8,#,0.044
1993,0120020,01,501,02,0,11,#,0.36,#,2.5,4,8,#,0.87,#,0.014,#,0.077,1,8,#,0.033
1993,0120030,01,501,51,0,11,#,0.39,#,2.3,5,8,#,0.91,#,0.025,#,0.062,2,8,#,0.045
1993,0120040,01,501,52,0,11,#,0.31,#,2.9,3,8,#,0.92,#,0.019,#,0.051,1,8,#,0.035
1993,0120050,01,502,01,0,11,#,0.05,#,0.11,999,6,#,0.08,<,0.003,<,0.003,0,6,<,0.003
1993,0120060,01,502,02,0,11,<,0.05,#,0.1,999,6,#,0.07,<,0.003,<,0.003,0,6,<,0.003
1993,0120110,01,503,01,0,11,#,0.2,#,0.3,999,6,#,0.25,<,0.003,<,0.003,0,6,<,0.003
1993,0120120,01,503,02,0,11,#,0.19,#,0.31,999,6,#,0.25,<,0.003,#,0.003,0,6,#,0.003
1993,0120130,01,503,03,0,11,#,0.16,#,0.29,999,6,#,0.23,<,0.003,#,0.009,1,6,#,0.004
1993,0120140,01,503,51,0,11,#,0.16,#,0.27,999,6,#,0.22,<,0.003,<,0.003,0,6,<,0.003
1993,0120150,01,503,52,0,11,#,0.16,#,0.33,999,6,#,0.24,<,0.003,#,0.006,1,6,#,0.004
1993,0120160,01,503,53,0,11,#,0.17,#,0.27,999,6,#,0.22,<,0.003,#,0.005,0,6,#,0.004
1993,0120170,01,503,54,0,11,#,0.18,#,0.27,999,6,#,0.23,<,0.003,#,0.006,1,6,#,0.004
1993,0120180,01,504,01,0,11,#,0.25,#,0.41,999,6,#,0.34,#,0.013,#,0.068,4,6,#,0.041
1993,0120190,01,504,02,0,11,#,0.22,#,0.59,999,6,#,0.37,#,0.019,#,0.057,4,6,#,0.039
1993,0120200,01,504,51,0,11,#,0.25,#,0.78,999,6,#,0.44,#,0.021,#,0.072,4,6,#,0.042
1993,0120210,01,504,52,0,11,#,0.22,#,0.63,999,6,#,0.38,#,0.016,#,0.06,3,6,#,0.038
1993,0120220,01,504,53,0,11,#,0.23,#,0.67,999,6,#,0.38,#,0.017,#,0.06,4,6,#,0.039
1993,0120230,01,504,54,0,11,#,0.23,#,0.61,999,6,#,0.39,#,0.024,#,0.063,5,6,#,0.041
1993,0120240,01,505,01,0,11,#,0.12,#,0.22,0,5,#,0.17,#,0.021,#,0.038,3,5,#,0.031
1993,0120240,01,505,01,0,12,#,0.1,#,0.24,0,5,#,0.16,#,0.022,#,0.042,2,5,#,0.032
1993,0120250,01,505,02,0,11,#,0.11,#,0.17,0,5,#,0.14,#,0.021,#,0.055,4,5,#,0.037
1993,0120250,01,505,02,0,12,#,0.09,#,0.26,0,5,#,0.16,#,0.021,#,0.054,3,5,#,0.035
1993,0120260,01,505,03,0,11,#,0.07,#,0.18,0,5,#,0.13,#,0.022,#,0.059,4,5,#,0.036
1993,0120260,01,505,03,0,12,#,0.12,#,0.2,0,5,#,0.16,#,0.021,#,0.043,1,5,#,0.029
1993,0120270,01,505,51,0,11,#,0.06,#,0.14,0,5,#,0.11,#,0.022,#,0.052,2,5,#,0.032
1993,0120280,01,505,52,0,11,#,0.09,#,0.21,0,5,#,0.16,#,0.024,#,0.062,3,5,#,0.036
1993,0120290,01,505,53,0,11,<,0.05,#,0.22,0,5,#,0.13,#,0.023,#,0.046,3,5,#,0.033
1993,0120300,01,505,54,0,11,#,0.1,#,0.24,0,5,#,0.17,#,0.02,#,0.037,2,5,#,0.029
1993,0120310,01,506,01,0,11,<,0.05,#,0.38,999,6,#,0.21,<,0.003,#,0.02,1,6,#,0.006
1993,0120320,01,506,02,0,11,<,0.05,#,0.19,999,6,#,0.12,<,0.003,#,0.018,2,6,#,0.007
1993,0120360,01,507,01,0,11,<,0.05,#,0.16,999,4,#,0.1,<,0.003,#,0.008,0,4,#,0.005
1993,0120360,01,507,01,0,12,<,0.05,#,0.16,999,4,#,0.1,#,0.003,#,0.008,0,4,#,0.005
1993,0120370,01,507,02,0,11,<,0.05,#,0.15,999,4,#,0.09,#,0.004,#,0.013,1,4,#,0.008
1993,0120370,01,507,02,0,12,<,0.05,#,0.12,999,4,#,0.07,#,0.004,#,0.013,1,4,#,0.007
1993,0120380,01,507,51,0,11,<,0.05,#,0.09,999,4,#,0.07,#,0.003,#,0.007,0,4,#,0.005
1993,0120390,01,507,52,0,11,#,0.06,#,0.16,999,4,#,0.1,#,0.003,#,0.012,1,4,#,0.006
1993,0120400,01,507,53,0,11,<,0.05,#,0.25,999,4,#,0.11,#,0.004,#,0.009,0,4,#,0.006
1993,0120410,01,508,01,0,11,#,0.07,#,0.14,999,4,#,0.12,#,0.005,#,0.011,2,4,#,0.008
1993,0120410,01,508,01,0,12,#,0.06,#,0.22,999,4,#,0.15,#,0.007,#,0.011,1,4,#,0.009
1993,0120420,01,508,02,0,11,#,0.09,#,0.21,999,4,#,0.14,#,0.004,#,0.01,0,4,#,0.006
1993,0120420,01,508,02,0,12,#,0.13,#,0.44,999,4,#,0.23,#,0.007,#,0.024,3,4,#,0.016
1993,0120430,01,508,51,0,11,#,0.08,#,0.18,999,4,#,0.13,#,0.006,#,0.013,1,4,#,0.009
1993,0120440,01,508,52,0,11,#,0.06,#,0.18,999,4,#,0.13,#,0.006,#,0.011,1,4,#,0.008
1993,0120450,01,508,53,0,11,#,0.05,#,0.2,999,4,#,0.14,#,0.006,#,0.011,1,4,#,0.008
1993,0120460,01,509,01,0,11,#,0.11,#,2.1,5,8,#,1.2,#,0.054,#,0.18,1,8,#,0.093
1993,0120470,01,509,02,0,11,#,0.36,#,1.7,6,8,#,1.2,#,0.067,#,0.17,5,8,#,0.12
1993,0120480,01,509,51,0,11,#,0.66,#,2.8,5,8,#,1.4,#,0.056,#,0.19,1,8,#,0.095
1993,0120490,01,509,52,0,11,#,0.68,#,1.9,5,8,#,1.3,#,0.074,#,0.18,3,8,#,0.12
1993,0120550,01,510,01,0,11,<,0.05,#,0.09,999,4,#,0.06,<,0.003,<,0.003,0,4,<,0.003
