西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,水温,m_トリハロメタン生成能,n_トリハロメタン生成能,C_トリハロメタン生成能_最大値,トリハロメタン生成能_最大値,C_トリハロメタン生成能_日平均値_平均値,トリハロメタン生成能_日平均値_平均値,C_クロロホルム生成能_最大値,クロロホルム生成能_最大値,C_クロロホルム生成能_日平均値_平均値,クロロホルム生成能_日平均値_平均値,C_ブロモジクロロメタン生成能_最大値,ブロモジクロロメタン生成能_最大値,C_ブロモジクロロメタン生成能_日平均値_平均値,ブロモジクロロメタン生成能_日平均値_平均値,C_ジブロモクロロメタン生成能_最大値,ジブロモクロロメタン生成能_最大値,C_ジブロモクロロメタン生成能_日平均値_平均値,ジブロモクロロメタン生成能_日平均値_平均値,C_ブロモホルム生成能_最大値,ブロモホルム生成能_最大値,C_ブロモホルム生成能_日平均値_平均値,ブロモホルム生成能_日平均値_平均値
2005,0111740,01,120,01,99.9,999,4,#,0.024,#,0.023,#,0.013,#,0.012,#,0.009,#,0.006,#,0.005,#,0.003,<,0.001,<,0.001
2005,0112060,01,141,02,99.9,999,4,#,0.085,#,0.069,#,0.069,#,0.056,#,0.016,#,0.012,#,0.002,#,0.001,<,0.001,<,0.001
2005,0114220,01,141,53,99.9,999,4,#,0.1,#,0.075,#,0.081,#,0.06,#,0.021,#,0.014,#,0.003,#,0.002,<,0.001,<,0.001
2005,0112100,01,143,01,99.9,999,4,#,0.026,#,0.022,#,0.015,#,0.012,#,0.007,#,0.006,#,0.004,#,0.004,<,0.001,<,0.001
2005,0114320,01,144,53,99.9,999,4,#,0.12,#,0.1,#,0.1,#,0.081,#,0.023,#,0.021,#,0.005,#,0.004,<,0.001,<,0.001
2005,0112150,01,146,01,99.9,999,4,#,0.042,#,0.035,#,0.024,#,0.02,#,0.015,#,0.008,#,0.008,#,0.006,#,0.004,#,0.002
2005,0114070,01,272,01,99.9,999,4,#,0.027,#,0.02,#,0.015,#,0.012,#,0.008,#,0.005,#,0.005,#,0.003,<,0.001,<,0.001
2005,0114300,01,290,01,99.9,999,4,#,0.1,#,0.079,#,0.086,#,0.064,#,0.018,#,0.014,#,0.004,#,0.002,<,0.001,<,0.001
2005,0114310,01,290,02,99.9,999,4,#,0.1,#,0.073,#,0.093,#,0.062,#,0.012,#,0.011,#,0.002,#,0.001,<,0.001,<,0.001
2005,0114470,01,297,01,99.9,999,4,#,0.076,#,0.064,#,0.072,#,0.06,#,0.004,#,0.003,<,0.001,<,0.001,<,0.001,<,0.001
2005,0210070,02,003,01,23.4,999,4,#,0.045,#,0.031,#,0.033,#,0.019,#,0.01,#,0.0085,#,0.003,#,0.0025,<,0.001,<,0.001
2005,0210090,02,003,51,22,999,4,#,0.037,#,0.027,#,0.025,#,0.017,#,0.009,#,0.0075,#,0.002,#,0.002,<,0.001,<,0.001
2005,0210190,02,008,02,20.7,999,4,#,0.044,#,0.033,#,0.03,#,0.014,#,0.013,#,0.011,#,0.009,#,0.0073,#,0.001,#,0.001
2005,0210240,02,010,03,23.8,999,4,#,0.12,#,0.093,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2005,0210330,02,010,59,20,999,4,#,0.076,#,0.061,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2005,0210620,02,015,01,25.2,999,4,#,0.076,#,0.058,#,0.035,#,0.023,#,0.026,#,0.021,#,0.018,#,0.013,#,0.0026,#,0.0016
2005,0211040,02,033,01,22.7,999,4,#,0.041,#,0.023,#,0.031,#,0.012,#,0.0085,#,0.0068,#,0.0067,#,0.0039,#,0.0006,#,0.0004
2005,0211130,02,035,01,12.2,999,4,#,0.052,#,0.03,#,0.037,#,0.018,#,0.012,#,0.0088,#,0.0042,#,0.0036,#,0.0003,#,0.0003
2005,0214480,02,297,01,20.7,999,4,#,0.084,#,0.07,#,0.074,#,0.058,#,0.011,#,0.01,#,0.0019,#,0.0014,<,0.0002,<,0.0002
2005,0221100,02,503,01,23.1,999,4,#,0.11,#,0.08,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2005,0310060,03,002,54,20.2,999,4,#,0.032,#,0.023,#,0.021,#,0.016,#,0.009,#,0.0063,#,0.002,#,0.002,<,0.001,<,0.001
2005,0310420,03,018,52,19,999,4,#,0.054,#,0.038,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2005,0310450,03,019,51,19.5,999,4,#,0.051,#,0.041,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2005,0312540,03,033,51,20.5,999,4,#,0.14,#,0.086,#,0.13,#,0.074,#,0.014,#,0.013,#,0.002,#,0.002,<,0.001,<,0.001
2005,0320130,03,506,01,26.6,999,1,#,0.05,#,0.05,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2005,0410230,04,009,01,24.2,999,4,#,0.058,#,0.048,#,0.039,#,0.03,#,0.018,#,0.013,#,0.005,#,0.004,<,0.001,<,0.001
2005,0411760,04,010,51,25.3,999,4,#,0.053,#,0.037,#,0.038,#,0.025,#,0.012,#,0.009,#,0.002,#,0.002,<,0.001,<,0.001
2005,0410270,04,010,52,25.3,999,4,#,0.056,#,0.043,#,0.039,#,0.029,#,0.014,#,0.011,#,0.005,#,0.003,#,0.003,#,0.002
2005,0410290,04,012,01,23.3,999,4,#,0.043,#,0.031,#,0.031,#,0.022,#,0.01,#,0.007,#,0.002,#,0.002,<,0.001,<,0.001
2005,0410300,04,012,51,19.7,999,4,#,0.05,#,0.042,#,0.041,#,0.031,#,0.009,#,0.008,#,0.004,#,0.002,<,0.001,<,0.001
2005,0410360,04,013,01,19.2,999,4,#,0.04,#,0.019,#,0.031,#,0.013,#,0.007,#,0.004,#,0.002,#,0.001,<,0.001,<,0.001
