西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,採取位置,C_全窒素_最小値,全窒素_最小値,C_全窒素_最大値,全窒素_最大値,m_全窒素,n_全窒素,C_全窒素_日間平均値_平均値,全窒素_日間平均値_平均値,C_全燐_最小値,全燐_最小値,C_全燐_最大値,全燐_最大値,m_全燐,n_全燐,C_全燐_日間平均値_平均値,全燐_日間平均値_平均値
1989,0120010,01,501,01,0,11,#,0.3,#,0.98,2,8,#,0.53,#,0.01,#,0.047,0,8,#,0.034
1989,0120020,01,501,02,0,11,#,0.37,#,1,3,8,#,0.6,#,0.01,#,0.066,2,8,#,0.04
1989,0120030,01,501,51,0,11,#,0.56,#,0.99,7,8,#,0.8,#,0.03,#,0.19,4,8,#,0.07
1989,0120040,01,501,52,0,11,#,0.41,#,1,5,8,#,0.62,#,0.008,#,0.092,2,8,#,0.045
1989,0120050,01,502,01,0,11,#,0.08,#,0.18,999,6,#,0.11,<,0.003,#,0.007,2,6,#,0.004
1989,0120050,01,502,01,0,12,#,0.08,#,0.24,999,2,#,0.16,#,0.004,#,0.007,1,2,#,0.006
1989,0120060,01,502,02,0,11,#,0.07,#,0.21,999,6,#,0.11,<,0.003,#,0.005,0,6,#,0.003
1989,0120060,01,502,02,0,12,#,0.08,#,0.19,999,2,#,0.14,#,0.004,#,0.006,1,2,#,0.005
1989,0120070,01,502,51,0,11,#,0.08,#,0.14,999,2,#,0.11,<,0.003,#,0.005,0,2,#,0.004
1989,0120080,01,502,52,0,11,#,0.08,#,0.12,999,2,#,0.1,<,0.003,#,0.005,0,2,#,0.004
1989,0120090,01,502,53,0,11,#,0.11,#,0.12,999,2,#,0.12,<,0.003,#,0.005,0,2,#,0.004
1989,0120100,01,502,54,0,11,#,0.1,#,0.11,999,2,#,0.11,<,0.003,#,0.005,0,2,#,0.004
1989,0120110,01,503,01,0,11,#,0.09,#,0.27,999,6,#,0.19,<,0.003,#,0.005,0,6,#,0.003
1989,0120110,01,503,01,0,12,#,0.24,#,2.5,999,2,#,1.4,<,0.003,#,0.006,1,2,#,0.005
1989,0120120,01,503,02,0,11,#,0.14,#,0.29,999,6,#,0.22,<,0.003,#,0.005,0,6,#,0.003
1989,0120120,01,503,02,0,12,#,0.2,#,0.36,999,2,#,0.28,<,0.003,#,0.006,1,2,#,0.005
1989,0120130,01,503,03,0,11,#,0.1,#,0.45,999,6,#,0.22,<,0.003,#,0.004,0,6,#,0.003
1989,0120130,01,503,03,0,12,#,0.19,#,0.29,999,2,#,0.24,<,0.003,#,0.004,0,2,#,0.004
1989,0120140,01,503,51,0,11,#,0.15,#,0.29,999,6,#,0.21,<,0.003,#,0.003,0,6,#,0.003
1989,0120150,01,503,52,0,11,#,0.13,#,0.39,999,6,#,0.22,<,0.003,#,0.005,0,6,#,0.003
1989,0120160,01,503,53,0,11,#,0.11,#,0.42,999,6,#,0.21,<,0.003,#,0.005,0,6,#,0.003
1989,0120170,01,503,54,0,11,#,0.08,#,0.35,999,6,#,0.22,<,0.003,#,0.005,0,6,#,0.003
1989,0120190,01,504,02,0,11,#,0.15,#,0.76,999,6,#,0.51,#,0.016,#,0.032,1,6,#,0.025
1989,0120240,01,505,01,0,11,#,0.16,#,0.58,2,6,#,0.36,#,0.021,#,0.069,1,6,#,0.034
1989,0120240,01,505,01,0,12,#,0.18,#,0.52,2,6,#,0.34,#,0.021,#,0.077,3,6,#,0.036
1989,0120250,01,505,02,0,11,#,0.17,#,0.62,2,6,#,0.36,#,0.022,#,0.083,1,6,#,0.036
1989,0120250,01,505,02,0,12,#,0.2,#,0.54,2,6,#,0.36,#,0.022,#,0.078,1,6,#,0.034
1989,0120260,01,505,03,0,11,#,0.2,#,0.53,3,6,#,0.37,#,0.024,#,0.085,2,6,#,0.038
