西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
2006,0110010,01,001,01,0,#,6.9,#,7.4,0,4,#,9.6,#,13,0,4,#,11,<,0.5,<,0.5,0,4,<,0.5,<,0.5,0,4,<,0.5,<,0.5,<,0.5,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3,#,16,0,4,#,10,#,49,#,3300,3,4,#,1300,E,99999,E,99999,999,999,E,99999
2006,0110030,01,002,02,0,#,7.2,#,7.7,0,12,#,9.8,#,15,0,12,#,12,<,0.5,#,1.5,0,12,<,0.5,#,1.5,0,12,#,0.7,#,0.7,#,0.7,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,41,1,12,#,8,#,700,#,17000,9,12,#,4500,E,99999,E,99999,999,999,E,99999
2006,0114370,01,002,53,0,#,7,#,8.4,0,12,#,9.3,#,15,0,12,#,12,<,0.5,#,1.8,0,12,<,0.5,#,1.8,0,12,#,1,#,1.1,#,1.2,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,2,#,43,2,12,#,10,#,130,#,79000,2,6,#,14000,E,99999,E,99999,999,999,E,99999
2006,0110060,01,004,01,0,#,7.1,#,7.7,0,24,#,8.5,#,14,0,24,#,11,#,0.5,#,1.6,0,24,#,0.6,#,1.6,0,12,#,1,#,0.9,#,1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,4,#,110,6,24,#,26,#,170,#,22000,4,24,#,3500,E,99999,E,99999,999,999,E,99999
2006,0113460,01,004,02,0,#,6.9,#,7.9,0,12,#,8.3,#,14,0,12,#,11,#,0.5,#,1.5,0,12,#,0.5,#,1.5,0,12,#,1,#,1.1,#,1.2,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,5,#,100,2,12,#,21,#,1100,#,17000,4,12,#,6500,E,99999,E,99999,999,999,E,99999
2006,0110070,01,004,51,0,#,7.2,#,7.5,0,4,#,9.1,#,13,0,4,#,11,#,0.7,#,1.6,0,4,#,0.7,#,1.6,0,4,#,1,#,0.9,#,1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,5,#,120,1,4,#,38,#,490,#,22000,2,4,#,8800,E,99999,E,99999,999,999,E,99999
2006,0110090,01,004,53,0,#,7.2,#,7.6,0,4,#,9,#,14,0,4,#,12,<,0.5,#,1,0,4,<,0.5,#,1,0,4,#,0.8,#,0.9,#,0.9,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,5,#,110,1,4,#,37,#,1700,#,7900,1,4,#,4500,E,99999,E,99999,999,999,E,99999
2006,0110110,01,004,55,0,#,7.1,#,7.5,0,4,#,8,#,14,0,4,#,11,#,0.6,#,1.2,0,4,#,0.6,#,1.2,0,4,#,0.9,#,1,#,1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,6,#,110,1,4,#,38,#,790,#,11000,3,4,#,6900,E,99999,E,99999,999,999,E,99999
2006,0114690,01,004,56,0,#,7.2,#,7.7,0,9,#,7.9,#,13,0,9,#,10,#,1.4,#,3.2,1,9,#,1.4,#,3.2,1,9,#,2,#,1.8,#,2.1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,5,#,67,3,9,#,28,#,94,#,7900,1,9,#,2200,E,99999,E,99999,999,999,E,99999
2006,0114700,01,004,57,0,#,7.2,#,7.7,0,9,#,8.2,#,13,0,9,#,10,#,1.4,#,2.8,0,9,#,1.4,#,2.8,0,9,#,2,#,1.8,#,2.2,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,4,#,74,3,9,#,29,#,240,#,3300,0,9,#,1300,E,99999,E,99999,999,999,E,99999
