西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,採取位置,C_全窒素_最小値,全窒素_最小値,C_全窒素_最大値,全窒素_最大値,m_全窒素,n_全窒素,C_全窒素_日間平均値_平均値,全窒素_日間平均値_平均値,C_全燐_最小値,全燐_最小値,C_全燐_最大値,全燐_最大値,m_全燐,n_全燐,C_全燐_日間平均値_平均値,全燐_日間平均値_平均値
1990,0120010,01,501,01,0,11,#,0.3,#,0.87,4,8,#,0.6,#,0.025,#,0.072,2,8,#,0.04
1990,0120020,01,501,02,0,11,#,0.3,#,1.1,3,8,#,0.61,#,0.018,#,0.1,2,8,#,0.043
1990,0120030,01,501,51,0,11,#,0.49,#,1.1,6,8,#,0.75,#,0.043,#,0.13,4,8,#,0.072
1990,0120040,01,501,52,0,11,#,0.34,#,1.1,3,8,#,0.58,#,0.025,#,0.08,3,8,#,0.048
1990,0120050,01,502,01,0,11,#,0.07,#,0.11,999,4,#,0.09,<,0.003,<,0.003,0,4,<,0.003
1990,0120050,01,502,01,0,12,#,0.09,#,0.15,999,2,#,0.12,<,0.003,<,0.003,0,2,<,0.003
1990,0120060,01,502,02,0,11,#,0.07,#,0.17,999,4,#,0.1,<,0.003,<,0.003,0,4,<,0.003
1990,0120060,01,502,02,0,12,#,0.09,#,0.13,999,2,#,0.11,<,0.003,<,0.003,0,2,<,0.003
1990,0120070,01,502,51,0,11,#,0.09,#,0.1,999,2,#,0.1,<,0.003,<,0.003,0,2,<,0.003
1990,0120080,01,502,52,0,11,#,0.05,#,0.09,999,2,#,0.07,<,0.003,<,0.003,0,2,<,0.003
1990,0120090,01,502,53,0,11,<,0.05,#,0.09,999,2,#,0.07,<,0.003,<,0.003,0,2,<,0.003
1990,0120100,01,502,54,0,11,#,0.05,#,0.09,999,2,#,0.07,<,0.003,<,0.003,0,2,<,0.003
1990,0120110,01,503,01,0,11,#,0.17,#,0.22,999,6,#,0.2,<,0.003,#,0.004,0,6,#,0.003
1990,0120120,01,503,02,0,11,#,0.18,#,0.28,999,6,#,0.22,<,0.003,#,0.004,0,6,#,0.003
1990,0120130,01,503,03,0,11,#,0.16,#,0.22,999,6,#,0.18,<,0.003,#,0.005,0,6,#,0.003
1990,0120140,01,503,51,0,11,#,0.17,#,0.22,999,6,#,0.2,<,0.003,#,0.005,0,6,#,0.003
1990,0120150,01,503,52,0,11,#,0.16,#,0.24,999,6,#,0.2,<,0.003,#,0.006,1,6,#,0.004
1990,0120160,01,503,53,0,11,#,0.12,#,0.32,999,6,#,0.21,<,0.003,#,0.005,0,6,#,0.003
1990,0120170,01,503,54,0,11,#,0.17,#,0.31,999,6,#,0.2,<,0.003,#,0.009,1,6,#,0.004
1990,0120190,01,504,02,0,11,#,0.28,#,0.85,999,5,#,0.47,#,0.012,#,0.028,0,5,#,0.019
1990,0120240,01,505,01,0,11,#,0.17,#,0.54,1,6,#,0.29,#,0.012,#,0.042,1,6,#,0.023
1990,0120240,01,505,01,0,12,#,0.18,#,0.57,1,6,#,0.28,#,0.01,#,0.041,1,6,#,0.025
1990,0120250,01,505,02,0,11,#,0.18,#,0.55,1,6,#,0.27,#,0.009,#,0.043,1,6,#,0.022
1990,0120250,01,505,02,0,12,#,0.18,#,0.6,1,6,#,0.29,#,0.009,#,0.041,1,6,#,0.024
1990,0120260,01,505,03,0,11,#,0.15,#,0.57,1,6,#,0.27,#,0.01,#,0.042,1,6,#,0.022
1990,0120260,01,505,03,0,12,#,0.2,#,0.61,1,6,#,0.3,#,0.01,#,0.047,1,6,#,0.023
1990,0120270,01,505,51,0,11,#,0.15,#,0.56,1,5,#,0.27,#,0.013,#,0.027,0,5,#,0.019
1990,0120280,01,505,52,0,11,#,0.17,#,0.49,1,5,#,0.27,#,0.01,#,0.028,0,5,#,0.019
1990,0120290,01,505,53,0,11,#,0.21,#,0.49,1,6,#,0.3,#,0.01,#,0.062,2,6,#,0.026
1990,0120300,01,505,54,0,11,#,0.16,#,0.59,1,5,#,0.29,#,0.01,#,0.027,0,5,#,0.017
1990,0120310,01,506,01,0,11,#,0.09,#,0.51,999,6,#,0.27,<,0.003,#,0.004,0,6,#,0.004
1990,0120320,01,506,02,0,11,#,0.14,#,0.48,999,6,#,0.29,<,0.003,#,0.056,1,6,#,0.012
1990,0120360,01,507,01,0,11,#,0.12,#,0.17,999,4,#,0.15,<,0.003,<,0.003,0,4,<,0.003
1990,0120360,01,507,01,0,12,#,0.12,#,0.2,999,4,#,0.16,<,0.003,<,0.003,0,4,<,0.003
1990,0120370,01,507,02,0,11,#,0.12,#,0.2,999,4,#,0.15,<,0.003,<,0.003,0,4,<,0.003
1990,0120370,01,507,02,0,12,#,0.12,#,0.21,999,4,#,0.16,<,0.003,<,0.003,0,4,<,0.003
1990,0120380,01,507,51,0,11,#,0.12,#,0.18,999,4,#,0.14,<,0.003,<,0.003,0,4,<,0.003
1990,0120390,01,507,52,0,11,#,0.12,#,0.2,999,4,#,0.15,<,0.003,<,0.003,0,4,<,0.003
1990,0120400,01,507,53,0,11,#,0.12,#,0.18,999,4,#,0.14,<,0.003,<,0.003,0,4,<,0.003
1990,0120410,01,508,01,0,11,#,0.16,#,0.28,999,4,#,0.22,<,0.003,#,0.005,0,4,#,0.004
1990,0120410,01,508,01,0,12,#,0.2,#,0.27,999,4,#,0.24,<,0.003,#,0.005,0,4,#,0.004
1990,0120420,01,508,02,0,11,#,0.19,#,0.22,999,4,#,0.2,<,0.003,#,0.006,0,4,#,0.005
1990,0120420,01,508,02,0,12,#,0.18,#,0.25,999,4,#,0.22,<,0.003,#,0.006,0,4,#,0.005
1990,0120430,01,508,51,0,11,#,0.18,#,0.22,999,4,#,0.21,<,0.003,#,0.006,0,4,#,0.005
1990,0120440,01,508,52,0,11,#,0.18,#,0.22,999,4,#,0.21,<,0.003,#,0.007,0,4,#,0.005
