西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,水温,m_トリハロメタン生成能,n_トリハロメタン生成能,C_トリハロメタン生成能_最大値,トリハロメタン生成能_最大値,C_トリハロメタン生成能_日平均値_平均値,トリハロメタン生成能_日平均値_平均値,C_クロロホルム生成能_最大値,クロロホルム生成能_最大値,C_クロロホルム生成能_日平均値_平均値,クロロホルム生成能_日平均値_平均値,C_ブロモジクロロメタン生成能_最大値,ブロモジクロロメタン生成能_最大値,C_ブロモジクロロメタン生成能_日平均値_平均値,ブロモジクロロメタン生成能_日平均値_平均値,C_ジブロモクロロメタン生成能_最大値,ジブロモクロロメタン生成能_最大値,C_ジブロモクロロメタン生成能_日平均値_平均値,ジブロモクロロメタン生成能_日平均値_平均値,C_ブロモホルム生成能_最大値,ブロモホルム生成能_最大値,C_ブロモホルム生成能_日平均値_平均値,ブロモホルム生成能_日平均値_平均値
2002,0111740,01,120,01,25,999,4,#,0.021,#,0.018,#,0.013,#,0.011,#,0.006,#,0.005,#,0.002,#,0.002,<,0.0001,<,0.0001
2002,0112070,01,141,51,19.3,999,4,#,0.11,#,0.07,#,0.055,#,0.045,#,0.042,#,0.018,#,0.029,#,0.008,<,0.0001,<,0.0001
2002,0114220,01,141,53,22.4,999,4,#,0.14,#,0.1,#,0.098,#,0.08,#,0.036,#,0.021,#,0.008,#,0.003,<,0.0001,<,0.0001
2002,0112130,01,144,52,20.6,999,4,#,0.067,#,0.051,#,0.055,#,0.039,#,0.013,#,0.011,#,0.003,#,0.002,<,0.0001,<,0.0001
2002,0114320,01,144,53,16.3,999,4,#,0.15,#,0.12,#,0.13,#,0.1,#,0.022,#,0.021,#,0.003,#,0.003,<,0.0001,<,0.0001
2002,0112150,01,146,01,17,999,4,#,0.009,#,0.005,#,0.005,#,0.0025,#,0.003,#,0.0016,<,0.001,<,0.001,<,0.0001,<,0.0001
2002,0114070,01,272,01,19.5,999,4,#,0.032,#,0.024,#,0.015,#,0.014,#,0.006,#,0.0055,#,0.015,#,0.005,<,0.0001,<,0.0001
2002,0114300,01,290,01,26.1,999,4,#,0.12,#,0.079,#,0.098,#,0.058,#,0.028,#,0.021,#,0.005,#,0.002,<,0.0001,<,0.0001
2002,0114310,01,290,02,24.4,999,4,#,0.098,#,0.05,#,0.075,#,0.036,#,0.02,#,0.013,#,0.003,#,0.002,<,0.0001,<,0.0001
2002,0114470,01,297,01,99.9,999,4,#,0.17,#,0.11,#,0.081,#,0.05,#,0.015,#,0.0088,#,0.021,#,0.011,#,0.085,#,0.04
2002,0210070,02,003,01,22.6,999,4,#,0.04,#,0.034,#,0.023,#,0.02,#,0.014,#,0.011,#,0.005,#,0.003,<,0.001,<,0.001
2002,0210090,02,003,51,22.6,999,4,#,0.036,#,0.03,#,0.022,#,0.017,#,0.011,#,0.0098,#,0.004,#,0.0028,<,0.001,<,0.001
2002,0210190,02,008,02,20.3,999,4,#,0.047,#,0.043,#,0.016,#,0.011,#,0.018,#,0.016,#,0.017,#,0.014,#,0.002,#,0.0018
2002,0210240,02,010,03,23.7,999,4,#,0.068,#,0.064,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0210330,02,010,59,24,999,4,#,0.046,#,0.044,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0210620,02,015,01,24.5,999,4,#,0.06,#,0.051,#,0.034,#,0.026,#,0.018,#,0.015,#,0.014,#,0.0093,#,0.0024,#,0.0012
2002,0211040,02,033,01,17.1,999,4,#,0.053,#,0.035,#,0.04,#,0.022,#,0.013,#,0.0085,#,0.0047,#,0.0032,#,0.0024,#,0.001
2002,0211130,02,035,01,15.1,999,4,#,0.031,#,0.024,#,0.018,#,0.013,#,0.0091,#,0.0074,#,0.0034,#,0.0032,#,0.002,#,0.0007
2002,0214480,02,297,01,20.5,999,4,#,0.074,#,0.064,#,0.066,#,0.055,#,0.011,#,0.0087,#,0.0013,#,0.0009,#,0.0004,#,0.0003
2002,0221100,02,503,01,25.1,999,4,#,0.11,#,0.06,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0310060,03,002,54,23,999,4,#,0.034,#,0.032,#,0.025,#,0.021,#,0.009,#,0.0083,#,0.002,#,0.002,<,0.001,<,0.001
2002,0310430,03,018,53,20.4,999,4,#,0.02,#,0.018,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0312540,03,033,51,21.5,999,4,#,0.062,#,0.053,#,0.043,#,0.037,#,0.017,#,0.014,#,0.004,#,0.003,<,0.001,<,0.001
2002,0311030,03,047,53,21.8,999,4,#,0.02,#,0.018,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0312820,03,245,02,22.8,999,1,#,0.062,#,0.062,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0320130,03,506,01,24.3,999,1,#,0.04,#,0.04,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0320160,03,508,01,23.9,999,4,#,0.02,#,0.015,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0410230,04,009,01,27,999,4,#,0.057,#,0.046,#,0.044,#,0.031,#,0.014,#,0.011,#,0.003,#,0.002,<,0.001,<,0.001
2002,0411760,04,010,51,28,999,4,#,0.059,#,0.037,#,0.042,#,0.026,#,0.014,#,0.009,#,0.002,#,0.002,<,0.001,<,0.001
2002,0410270,04,010,52,27,999,4,#,0.056,#,0.046,#,0.042,#,0.031,#,0.013,#,0.012,#,0.004,#,0.003,<,0.001,<,0.001
2002,0410290,04,012,01,26.4,999,4,#,0.046,#,0.033,#,0.032,#,0.023,#,0.011,#,0.008,#,0.002,#,0.001,<,0.001,<,0.001
2002,0410300,04,012,51,23.5,999,4,#,0.05,#,0.036,#,0.037,#,0.026,#,0.011,#,0.007,#,0.005,#,0.003,<,0.001,<,0.001
2002,0410360,04,013,01,21.3,999,4,#,0.029,#,0.024,#,0.018,#,0.015,#,0.008,#,0.007,#,0.002,#,0.002,<,0.001,<,0.001
2002,0410500,04,016,01,26.5,999,4,#,0.069,#,0.047,#,0.058,#,0.036,#,0.009,#,0.009,#,0.002,#,0.001,<,0.001,<,0.001
2002,0410530,04,017,01,28.5,999,4,#,0.089,#,0.058,#,0.072,#,0.044,#,0.014,#,0.01,#,0.004,#,0.002,<,0.001,<,0.001
2002,0410580,04,019,01,27.5,999,4,#,0.05,#,0.035,#,0.038,#,0.026,#,0.009,#,0.007,#,0.002,#,0.002,<,0.001,<,0.001
2002,0410620,04,021,01,26,999,4,#,0.12,#,0.094,#,0.11,#,0.083,#,0.014,#,0.012,#,0.002,#,0.001,<,0.001,<,0.001
2002,0410710,04,025,01,22.5,999,4,#,0.052,#,0.038,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0410740,04,025,53,21.6,999,4,#,0.061,#,0.04,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0410970,04,031,01,26,999,4,#,0.086,#,0.071,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0411130,04,038,01,19.5,999,4,#,0.042,#,0.034,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0411170,04,039,01,21.9,999,4,#,0.072,#,0.042,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0411370,04,053,01,19.8,999,4,#,0.031,#,0.02,#,0.016,#,0.009,#,0.01,#,0.007,#,0.004,#,0.004,<,0.001,<,0.001
2002,0411500,04,057,01,19.5,999,4,#,0.051,#,0.043,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0420290,04,410,01,21.5,999,4,#,0.16,#,0.12,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999,E,99999
2002,0420120,04,504,01,28.1,999,4,#,0.05,#,0.032,#,0.045,#,0.027,#,0.004,#,0.003,#,0.001,#,0.001,<,0.001,<,0.001
2002,0420140,04,505,01,26.1,999,4,#,0.053,#,0.037,#,0.039,#,0.028,#,0.012,#,0.007,<,0.001,<,0.001,<,0.001,<,0.001
2002,0420180,04,506,01,24.8,999,4,#,0.064,#,0.045,#,0.052,#,0.035,#,0.01,#,0.008,#,0.001,#,0.001,<,0.001,<,0.001
