西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,調査区分,C_pH_最小値,pH_最小値,C_pH_最大値,pH_最大値,m_pH,n_pH,C_DO_最小値,DO_最小値,C_DO_最大値,DO_最大値,m_DO,n_DO,C_DO_日間平均値_平均値,DO_日間平均値_平均値,C_BOD_最小値,BOD_最小値,C_BOD_最大値,BOD_最大値,m_BOD,n_BOD,C_BOD_日間平均値_最小値,BOD_日間平均値_最小値,C_BOD_日間平均値_最大値,BOD_日間平均値_最大値,x_BOD,y_BOD,C_BOD_日間平均値_平均値,BOD_日間平均値_平均値,C_BOD_日間平均値_中央値,BOD_日間平均値_中央値,C_BOD_日間平均値_75%値,BOD_日間平均値_75%値,C_COD_最小値,COD_最小値,C_COD_最大値,COD_最大値,m_COD,n_COD,C_COD_日間平均値_最小値,COD_日間平均値_最小値,C_COD_日間平均値_最大値,COD_日間平均値_最大値,x_COD,y_COD,C_COD_日間平均値_平均値,COD_日間平均値_平均値,C_COD_日間平均値_中央値,COD_日間平均値_中央値,C_COD_日間平均値_75%値,COD_日間平均値_75%値,C_SS_最小値,SS_最小値,C_SS_最大値,SS_最大値,m_SS,n_SS,C_SS_日間平均値_平均値,SS_日間平均値_平均値,C_大腸菌群数_最小値,大腸菌群数_最小値,C_大腸菌群数_最大値,大腸菌群数_最大値,m_大腸菌群数,n_大腸菌群数,C_大腸菌群数_日間平均値_平均値,大腸菌群数_日間平均値_平均値,C_n-ヘキサン抽出物質（油分等）_最小値,n-ヘキサン抽出物質（油分等)_最小値,C_n-ヘキサン抽出物質(油分等)_最大値,n-ヘキサン抽出物質(油分等)_最大値,m_n-ヘキサン抽出物質(油分等),n_n-ヘキサン抽出物質(油分等),C_n-ヘキサン抽出物質(油分等)_日間平均値_平均値,n-ヘキサン抽出物質(油分等)_日間平均値_平均値
2002,0110010,01,001,01,0,#,7,#,7.9,0,4,#,10,#,13,0,4,#,11,<,0.5,#,0.7,0,4,<,0.5,#,0.7,0,4,#,0.6,#,0.6,#,0.6,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3,#,9,0,4,#,6,#,13,#,920,2,4,#,300,#,1.1,#,1.1,999,1,#,1.1
2002,0110030,01,002,02,0,#,7.1,#,7.7,0,12,#,9.8,#,15,0,12,#,12,<,0.5,#,4.8,2,12,<,0.5,#,4.8,2,12,#,1.3,#,0.7,#,0.8,#,1.7,#,6.8,999,12,#,1.7,#,6.8,999,12,#,3.4,#,2.8,#,3.3,#,3,#,120,1,12,#,18,#,490,#,24000,10,12,#,7400,E,99999,E,99999,999,999,E,99999
2002,0114370,01,002,53,0,#,7.1,#,7.9,0,12,#,10,#,16,0,12,#,13,<,0.5,#,1.1,0,12,<,0.5,#,1.1,0,12,#,0.7,#,0.7,#,0.8,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,3,#,120,2,12,#,26,#,130,#,9200,4,6,#,2900,N,0.5,N,0.5,999,2,N,0.5
2002,0110060,01,004,01,0,#,7.1,#,7.5,0,24,#,8.2,#,13,0,24,#,11,<,0.5,#,1.5,0,24,#,0.6,#,1.5,0,12,#,0.9,#,0.9,#,1,#,3.4,#,7.3,999,24,#,3.4,#,6.9,999,12,#,4.3,#,3.9,#,4.6,#,5,#,170,5,24,#,27,#,23,#,49000,8,24,#,8200,N,0.5,N,0.5,999,2,N,0.5
2002,0113460,01,004,02,0,#,6.9,#,7.3,0,12,#,8.8,#,13,0,12,#,11,<,0.5,#,1.8,0,12,<,0.5,#,1.8,0,12,#,1,#,0.9,#,1.1,#,2.7,#,7.6,999,12,#,2.7,#,7.6,999,12,#,4.4,#,4.2,#,4.3,<,1,#,200,3,12,#,31,#,490,#,170000,7,12,#,27000,N,0.5,N,0.5,999,2,N,0.5
2002,0110070,01,004,51,0,#,7,#,7.4,0,12,#,8.2,#,13,0,12,#,10,#,0.5,#,1.5,0,12,#,0.5,#,1.5,0,12,#,1,#,1,#,1.2,#,3.6,#,8.7,999,12,#,3.6,#,8.7,999,12,#,4.9,#,4.7,#,5,#,3,#,250,4,12,#,35,#,330,#,24000,4,12,#,5800,E,99999,E,99999,999,999,E,99999
2002,0110080,01,004,52,0,#,6.9,#,8.2,0,4,#,8.2,#,12,0,4,#,9.7,#,1,#,4.1,1,4,#,1,#,4.1,1,4,#,2.2,#,1.9,#,2.1,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,12,#,43,1,4,#,23,#,790,#,9200,2,4,#,4300,N,0.5,N,0.5,999,2,N,0.5
2002,0110090,01,004,53,0,#,6.9,#,7.6,0,12,#,9,#,13,0,12,#,11,<,0.5,#,1.4,0,12,<,0.5,#,1.4,0,12,#,0.9,#,0.9,#,1.2,#,2.9,#,8.6,999,12,#,2.9,#,8.6,999,12,#,4.4,#,4,#,4.2,#,4,#,320,2,12,#,38,#,220,#,79000,4,12,#,14000,N,0.5,N,0.5,999,2,N,0.5
2002,0110100,01,004,54,0,#,7.1,#,8.4,0,4,#,9.4,#,14,0,4,#,11,#,0.9,#,1.8,0,4,#,0.9,#,1.8,0,4,#,1.5,#,1.7,#,1.8,E,99999,E,99999,999,999,E,99999,E,99999,999,999,E,99999,E,99999,E,99999,#,5,#,12,0,4,#,9,#,350,#,24000,1,4,#,6800,N,0.5,N,0.5,999,2,N,0.5
2002,0110110,01,004,55,0,#,7.1,#,7.4,0,12,#,8.5,#,13,0,12,#,11,#,0.6,#,1.6,0,12,#,0.6,#,1.6,0,12,#,1,#,0.9,#,1.2,#,3.2,#,7.1,999,12,#,3.2,#,7.1,999,12,#,4.4,#,4.1,#,4.4,#,4,#,170,2,12,#,28,#,130,#,13000,2,12,#,4300,E,99999,E,99999,999,999,E,99999
