西暦年度,絶対番号,県コード_地点統一番号,水域コード_地点統一番号,地点コード_地点統一番号,m_ダイオキシン（水質）,n_ダイオキシン（水質）,C_ダイオキシン（水質）_最大値,ダイオキシン（水質）_最大値,C_ダイオキシン（水質）_平均値,ダイオキシン（水質）_平均値,m_ダイオキシン（底質）,n_ダイオキシン（底質）,C_ダイオキシン（底質）_最大値,ダイオキシン（底質）_最大値,C_ダイオキシン（底質）_平均値,ダイオキシン（底質）_平均値
2002,0110030,01,002,02,0,1,#,0.086,#,0.086,999,1,#,1.6,#,1.6
2002,0110060,01,004,01,0,3,#,0.16,#,0.098,999,2,#,0.31,#,0.28
2002,0110070,01,004,51,0,1,#,0.19,#,0.19,999,1,#,0.53,#,0.53
2002,0114540,01,005,54,0,2,#,0.26,#,0.17,999,999,E,99999,E,99999
2002,0110160,01,006,02,0,1,#,0.1,#,0.1,999,1,#,0.24,#,0.24
2002,0110170,01,007,01,0,3,#,0.37,#,0.2,999,2,#,0.34,#,0.32
2002,0110250,01,010,01,0,3,#,0.087,#,0.082,999,2,#,0.29,#,0.26
2002,0110260,01,010,02,0,1,#,0.091,#,0.091,999,1,#,0.27,#,0.27
2002,0110320,01,012,01,0,3,#,0.085,#,0.077,999,2,#,0.36,#,0.33
2002,0110370,01,017,01,0,3,#,0.078,#,0.076,999,2,#,1.4,#,0.82
2002,0110450,01,024,01,0,3,#,0.12,#,0.096,999,2,#,1.1,#,0.72
2002,0113990,01,024,55,0,1,#,0.08,#,0.08,999,1,#,1.4,#,1.4
2002,0110570,01,030,01,0,1,#,0.084,#,0.084,999,1,#,0.22,#,0.22
2002,0114660,01,030,51,0,1,#,0.069,#,0.069,999,1,#,0.26,#,0.26
2002,0110590,01,032,01,0,1,#,0.07,#,0.07,999,1,#,0.22,#,0.22
2002,0110600,01,033,01,0,3,#,0.078,#,0.075,999,2,#,0.3,#,0.26
2002,0110620,01,034,01,0,1,#,0.088,#,0.088,999,1,#,0.23,#,0.23
2002,0110630,01,035,01,0,2,#,0.08,#,0.077,999,1,#,0.24,#,0.24
2002,0110670,01,038,01,0,1,#,0.077,#,0.077,999,1,#,0.23,#,0.23
2002,0110790,01,048,01,0,3,#,0.089,#,0.079,999,2,#,0.23,#,0.23
2002,0110800,01,048,51,0,1,#,0.076,#,0.076,999,1,#,0.22,#,0.22
2002,0110940,01,059,01,0,1,#,0.07,#,0.07,999,1,#,0.23,#,0.23
2002,0110950,01,060,01,0,2,#,0.11,#,0.1,999,1,#,0.22,#,0.22
2002,0110980,01,062,01,0,3,#,0.083,#,0.077,999,2,#,0.31,#,0.28
2002,0111020,01,066,01,0,1,#,0.082,#,0.082,999,1,#,0.28,#,0.28
2002,0111170,01,075,01,0,1,#,0.075,#,0.075,999,1,#,0.32,#,0.32
2002,0111260,01,077,01,0,2,#,0.071,#,0.071,999,2,#,0.35,#,0.29
2002,0111280,01,079,01,0,2,#,0.12,#,0.1,999,2,#,0.33,#,0.3
2002,0111320,01,083,01,0,3,#,0.082,#,0.079,999,2,#,0.85,#,0.54
2002,0114510,01,121,54,0,1,#,0.15,#,0.15,999,1,#,0.53,#,0.53
2002,0114000,01,122,55,0,2,#,0.61,#,0.35,999,1,#,0.48,#,0.48
2002,0114550,01,126,51,0,2,#,0.54,#,0.34,999,999,E,99999,E,99999
2002,0114560,01,127,51,1,2,#,1.1,#,0.59,999,999,E,99999,E,99999
2002,0112180,01,148,01,0,1,#,0.071,#,0.071,999,1,#,0.86,#,0.86
2002,0112270,01,153,01,0,1,#,0.051,#,0.051,999,1,#,0.56,#,0.56
2002,0112280,01,154,01,0,1,#,0.072,#,0.072,999,1,#,0.89,#,0.89
2002,0112290,01,155,01,0,1,#,0.063,#,0.063,999,1,#,0.15,#,0.15
2002,0112300,01,156,01,0,1,#,0.048,#,0.048,999,1,#,0.15,#,0.15
2002,0112370,01,160,01,0,1,#,0.16,#,0.16,999,1,#,0.96,#,0.96
2002,0114490,01,160,53,0,1,#,0.15,#,0.15,999,1,#,0.33,#,0.33
2002,0112690,01,187,01,0,2,#,0.08,#,0.076,999,1,#,0.27,#,0.27
2002,0112700,01,187,02,0,1,#,0.079,#,0.079,999,1,#,0.22,#,0.22
2002,0114530,01,216,51,0,2,#,0.28,#,0.2,999,999,E,99999,E,99999
2002,0112880,01,219,01,0,2,#,0.083,#,0.08,999,1,#,0.22,#,0.22
2002,0113230,01,248,01,0,1,#,0.065,#,0.065,999,999,E,99999,E,99999
2002,0113410,01,260,03,0,1,#,0.077,#,0.077,999,1,#,0.22,#,0.22
2002,0114190,01,281,01,0,1,#,0.081,#,0.081,999,1,#,0.23,#,0.23
2002,0114500,01,283,02,0,1,#,0.15,#,0.15,999,1,#,0.37,#,0.37
2002,0114280,01,284,01,0,2,#,0.08,#,0.079,999,1,#,0.7,#,0.7
2002,0114520,01,290,03,0,1,#,0.081,#,0.081,999,1,#,0.48,#,0.48
2002,0120010,01,501,01,0,1,#,0.074,#,0.074,999,1,#,5.3,#,5.3
2002,0120020,01,501,02,0,1,#,0.076,#,0.076,999,1,#,0.22,#,0.22
2002,0120030,01,501,51,0,1,#,0.07,#,0.07,999,1,#,0.44,#,0.44
2002,0120040,01,501,52,0,1,#,0.11,#,0.11,999,1,#,0.23,#,0.23
2002,0120190,01,504,02,0,1,#,0.086,#,0.086,999,1,#,0.55,#,0.55
2002,0120670,01,597,01,0,1,#,0.07,#,0.07,999,1,#,0.77,#,0.77
2002,0120680,01,598,01,0,1,#,0.071,#,0.071,999,1,#,1.5,#,1.5
2002,0120690,01,599,01,0,1,#,0.07,#,0.07,999,1,#,0.66,#,0.66
2002,0130050,01,601,04,0,1,#,0.073,#,0.073,999,1,#,0.7,#,0.7
2002,0130040,01,601,51,0,1,#,0.072,#,0.072,999,1,#,0.22,#,0.22
2002,0130060,01,601,53,0,1,#,0.072,#,0.072,999,1,#,0.26,#,0.26
2002,0130080,01,602,01,0,1,#,0.071,#,0.071,999,1,#,0.28,#,0.28
2002,0132060,01,602,03,0,1,#,0.07,#,0.07,999,1,#,0.25,#,0.25
2002,0130120,01,602,53,0,1,#,0.071,#,0.071,999,1,#,0.22,#,0.22
2002,0130150,01,603,01,0,1,#,0.093,#,0.093,999,1,#,0.22,#,0.22
2002,0130180,01,603,54,0,1,#,0.071,#,0.071,999,1,#,0.26,#,0.26
2002,0132650,01,603,55,0,1,#,0.071,#,0.071,999,1,#,0.22,#,0.22
2002,0130220,01,604,02,0,2,#,0.068,#,0.068,999,1,#,4,#,4
2002,0130720,01,627,01,0,2,#,0.08,#,0.074,999,1,#,0.22,#,0.22
2002,0130770,01,629,03,0,1,#,0.067,#,0.067,999,1,#,0.24,#,0.24
2002,0130790,01,630,02,0,2,#,0.095,#,0.081,999,1,#,0.22,#,0.22
2002,0130880,01,633,02,0,2,#,0.069,#,0.069,999,1,#,3.6,#,3.6
2002,0132370,01,659,01,0,2,#,0.068,#,0.068,999,1,#,0.32,#,0.32
2002,0132380,01,660,01,0,1,#,0.067,#,0.067,999,1,#,0.22,#,0.22
2002,0132390,01,660,02,0,1,#,0.069,#,0.069,999,1,#,0.35,#,0.35
2002,0210050,02,002,02,0,1,#,0.081,#,0.081,999,1,#,2,#,2
2002,0210070,02,003,01,0,1,#,0.12,#,0.12,999,1,#,0.46,#,0.46
2002,0210090,02,003,51,0,1,#,0.13,#,0.13,999,1,#,0.56,#,0.56
2002,0210110,02,004,01,0,1,#,0.15,#,0.15,999,1,#,1.5,#,1.5
2002,0214642,02,004,52,0,1,#,0.094,#,0.094,999,1,#,0.7,#,0.7
2002,0210150,02,006,01,0,1,#,0.55,#,0.55,999,1,#,0.25,#,0.25
2002,0210210,02,009,01,0,1,#,0.48,#,0.48,999,1,#,0.24,#,0.24
2002,0210240,02,010,03,0,1,#,0.56,#,0.56,999,1,#,14,#,14
